function_group,canonical_source,canonical_path,canonical_mtime,superseded_count,superseded_paths
audit_landsat_matched_negative_pairing,mac,audit_landsat_matched_negative_pairing.py,2026-07-22T19:20:23,1,mac:audit_landsat_matched_negative_pairing_backup.py
audit_sentinel2_downloads,fir,MethaneFuse/methaneair_full_pipeline/audit_sentinel2_downloads_v2.py,2026-08-05T00:20:41,3,mac:audit_sentinel2_downloads_v2.py | mac:audit_sentinel2_downloads.py | fir:MethaneFuse/methaneair_full_pipeline/audit_sentinel2_downloads.py
build_emit_real_temporal,mac,EMIT_MethaneFuse_FINAL_FREEZE/scripts/build_emit_real_temporal_fixed.py,2026-08-14T09:23:47,3,mac:build_emit_real_temporal_fixed.py | mac:build_emit_real_temporal.py | mac:build_emit_real_temporal (1).py
build_final_confirmed_landsat_dataset,mac,build_final_confirmed_landsat_dataset.py,2026-07-17T15:35:28,1,mac:build_final_confirmed_landsat_dataset_backup.py
build_methaneair_sameparent_paired_benchmark,mac,build_methaneair_sameparent_paired_benchmark_v11_2.py,2026-08-13T21:15:51,2,mac:build_methaneair_sameparent_paired_benchmark_v11.py | mac:build_methaneair_sameparent_paired_benchmark_v11_1.py
build_unified_methane_master,fir,MethaneFuse/build_unified_methane_master_v3.py,2026-08-02T21:52:35,4,mac:build_unified_methane_master.py | mac:build_unified_methane_master_v2.py | fir:MethaneFuse/build_unified_methane_master.py | fir:MethaneFuse/build_unified_methane_master_v2.py
complete_s2_high_emission_wind_plan_with_era5land,mac,complete_s2_high_emission_wind_plan_with_era5land.py,2026-07-22T14:20:49,1,mac:complete_s2_high_emission_wind_plan_with_era5land_backup.py
download_and_qa_s2_high_emission_benchmark,mac,download_and_qa_s2_high_emission_benchmark_v2.py,2026-07-22T14:07:00,1,mac:download_and_qa_s2_high_emission_benchmark.py
download_enmap_primary721,mac,download_enmap_primary721_v4_safe_partials.py,2026-08-17T10:35:28,3,mac:download_enmap_primary721_v3_resume_pathfix.py | mac:download_enmap_primary721_v2_resilient.py | mac:download_enmap_primary721_v1.py
download_enmap_primary72h_nominal,mac,download_enmap_primary72h_nominal_v3_fresh.py,2026-08-13T14:50:30,2,mac:download_enmap_primary72h_nominal_v2.py | mac:download_enmap_primary72h_nominal_v1.py
download_sentinel2_matches_best_qa,fir,MethaneFuse/methaneair_full_pipeline/download_sentinel2_matches_best_qa_v2.py,2026-08-05T00:13:45,3,mac:download_sentinel2_matches_best_qa.py | mac:download_sentinel2_matches_best_qa_v2.py | fir:MethaneFuse/methaneair_full_pipeline/download_sentinel2_matches_best_qa.py
download_sentinel2_matches_resume,fir,MethaneFuse/methaneair_full_pipeline/download_sentinel2_matches.py,2026-08-05T19:53:27,1,fir:MethaneFuse/methaneair_full_pipeline/download_sentinel2_matches_before_resume_fix.py
download_stanford_enmap,mac,download_stanford_enmap_v4.py,2026-08-15T14:23:13,2,mac:download_stanford_enmap_v3.py | mac:download_stanford_enmap_v2.py
download_stanford_landsat,mac,download_stanford_landsat_v3.py,2026-08-12T16:26:52,1,mac:download_stanford_landsat_v2.py
evaluate_classification,fir,MethaneFuse/scripts/eval/evaluate_classification.py,2026-08-06T00:46:05,3,mac:evaluate_classification.py | fir:MethaneFuse/scripts/eval/evaluate_classification_before_wv3_fix.py | fir:MethaneFuse/scripts/eval/evaluate_classification_before_score_export.py
evaluate_classification_with_predictions_copy,fir,MethaneFuse/scripts/eval/evaluate_classification_with_predictions.py,2026-07-31T01:24:31,1,mac:evaluate_classification_with_predictions(1).py
export_methaneair_gee,fir,MethaneFuse/methaneair_full_pipeline/export_methaneair_gee_v2.py,2026-08-04T21:25:32,3,mac:export_methaneair_gee_v2.py | fir:MethaneFuse/methaneair_full_pipeline/export_methaneair_gee.py | fir:MethaneFuse/methaneair_full_pipeline/export_methaneair_gee_v1_backup.py
find_and_download_s2_reference_negatives,mac,find_and_download_s2_reference_negatives_v4.py,2026-07-24T15:45:53,4,mac:find_and_download_s2_reference_negatives_v2.py | mac:find_and_download_s2_reference_negatives_v3.py | mac:find_and_download_s2_reference_negatives_v1.py | mac:s2_five_site_expansion_v1/find_and_download_s2_reference_negatives_v1.py
finetune_loramoe_adapter,fir,MethaneFuse/src/models/finetune_loramoe_adapter.py,2026-08-06T16:42:39,5,fir:MethaneFuse/src/models/finetune_loramoe_adapter_before_s2_only_fix.py | fir:MethaneFuse/src/models/finetune_loramoe_adapter_before_wv3_fix_v2.py | fir:MethaneFuse/src/models/finetune_loramoe_adapter_before_seed_support.py | fir:MethaneFuse/src/models/finetune_loramoe_adapter_before_wv3_fix.py | fir:MethaneFuse/src/models/finetune_loramoe_adapter_before_gather_fix.py
freeze_build_methaneair_368_methanefuse,mac,freeze_build_methaneair_368_methanefuse_v10_1.py,2026-08-13T16:00:59,1,mac:freeze_build_methaneair_368_methanefuse_v10.py
integrate_aviris3_into_professor_master,lab,AVIRIS3_MethaneFuse_External_Test/scripts/integrate_aviris3_into_professor_master.py,2026-08-11T02:21:27,3,mac:integrate_aviris3_into_professor_master_before_provenance_fix.py | mac:integrate_aviris3_into_professor_master.py | lab:AVIRIS3_MethaneFuse_External_Test/scripts/integrate_aviris3_into_professor_master_before_provenance_fix.py
make_methanefuse_smoke_dataset,mac,make_methanefuse_smoke_dataset_v4.py,2026-07-24T23:58:15,3,mac:make_methanefuse_smoke_dataset.py | mac:make_methanefuse_smoke_dataset_v2.py | mac:make_methanefuse_smoke_dataset_v3.py
match_all_methane_to_enmap,mac,match_all_methane_to_enmap_v4_timestamp_repaired.py,2026-08-13T11:51:32,3,mac:match_all_methane_to_enmap_v1.py | mac:match_all_methane_to_enmap_v2_resumable.py | mac:match_all_methane_to_enmap_v3_targeted_l2a.py
methane_metadata_scanner_multi,mac,methane_metadata_scanner_multi_v2.py,2026-08-11T22:40:07,1,mac:methane_metadata_scanner_multi.py
methaneair_s2_corrected_qa,mac,methaneair_s2_corrected_qa_v7_1.py,2026-08-13T11:15:46,1,mac:methaneair_s2_corrected_qa_v7.py
prepare_emit_for_methanefuse,mac,EMIT_MethaneFuse_FINAL_FREEZE/scripts/prepare_emit_for_methanefuse_v4_resume_rflonly.py,2026-08-14T00:12:49,4,mac:prepare_emit_for_methanefuse_v3_lowdisk.py | mac:prepare_emit_for_methanefuse_v4_resume_rflonly.py | mac:prepare_emit_for_methanefuse.py | mac:emit_methanefuse_adapter_v2/prepare_emit_for_methanefuse_v2.py
prepare_selected_methaneair_sites,mac,prepare_selected_methaneair_sites_v2.py,2026-07-24T14:52:20,1,mac:prepare_selected_methaneair_sites.py
repair_enmap_corrupt_partials_bulk,mac,repair_enmap_corrupt_partials_bulk_v3_curl.py,2026-08-17T14:38:43,2,mac:repair_enmap_corrupt_partials_bulk_v1.py | mac:repair_enmap_corrupt_partials_bulk_v2.py
