category,role,files
aviris3,dataset_building,4
aviris3,qa,1
aviris3,utilities,2
carbon_mapper_legacy,acquisition,3
carbon_mapper_legacy,analysis,1
carbon_mapper_legacy,dataset_building,4
carbon_mapper_legacy,matching,1
carbon_mapper_legacy,qa,5
carbon_mapper_legacy,utilities,3
common,acquisition,2
common,analysis,1
common,dataset_building,18
common,features,2
common,matching,7
common,modeling,7
common,qa,13
common,utilities,21
common,visualization,2
emit,acquisition,2
emit,analysis,2
emit,dataset_building,7
emit,matching,1
emit,qa,1
emit,utilities,3
enmap,acquisition,2
enmap,dataset_building,6
enmap,matching,1
enmap,qa,5
enmap,utilities,1
ghgsat,dataset_building,1
ghgsat,qa,1
landsat,acquisition,3
landsat,analysis,1
landsat,dataset_building,18
landsat,features,4
landsat,matching,5
landsat,modeling,8
landsat,qa,13
landsat,utilities,4
methaneair,acquisition,5
methaneair,analysis,1
methaneair,dataset_building,7
methaneair,hpc,3
methaneair,matching,2
methaneair,modeling,2
methaneair,qa,7
methaneair,utilities,14
methaneair,visualization,1
methanefuse,dataset_building,11
methanefuse,hpc,8
methanefuse,modeling,5
methanefuse,qa,2
methanefuse,utilities,6
methanesat,acquisition,2
methanesat,analysis,3
methanesat,dataset_building,8
methanesat,modeling,1
methanesat,qa,4
methanesat,utilities,5
multisensor,dataset_building,7
multisensor,hpc,1
multisensor,utilities,11
sentinel2,acquisition,3
sentinel2,analysis,4
sentinel2,dataset_building,16
sentinel2,features,4
sentinel2,hpc,2
sentinel2,matching,6
sentinel2,modeling,5
sentinel2,qa,6
sentinel2,utilities,10
stanford_controlled_release,acquisition,5
stanford_controlled_release,matching,1
stanford_controlled_release,qa,5
stanford_controlled_release,utilities,2
unep_mars,acquisition,9
unep_mars,analysis,1
unep_mars,dataset_building,7
unep_mars,features,2
unep_mars,modeling,2
unep_mars,qa,5
