relative_path,filename,has_nonzero_copy_elsewhere,looks_project_related
table_formatter.py,table_formatter.py,False,False
scale.py,scale.py,False,False
text_file.py,text_file.py,False,False
README_FOR_SENIOR.md,README_FOR_SENIOR.md,True,False
interpolate.py,interpolate.py,False,False
test_io.py,test_io.py,False,False
e164.py,e164.py,False,False
streams.py,streams.py,False,False
request.py,request.py,False,False
securitycenter_v2_messages.py,securitycenter_v2_messages.py,False,False
more.py,more.py,False,False
stride_tricks.py,stride_tricks.py,False,False
test_function.py,test_function.py,False,False
wcwidth.py,wcwidth.py,False,False
_decorators.py,_decorators.py,False,False
etree_lxml.py,etree_lxml.py,False,False
c_generator.py,c_generator.py,False,False
groc.py,groc.py,False,False
run_seg.sh,run_seg.sh,True,True
test_function_base.py,test_function_base.py,False,False
metadata.py,metadata.py,False,False
_validators.py,_validators.py,False,False
ondemandscanning_v1_messages.py,ondemandscanning_v1_messages.py,False,False
securitycenter_v1_messages.py,securitycenter_v1_messages.py,False,False
schema.py,schema.py,False,False
osconfig_v1alpha_messages.py,osconfig_v1alpha_messages.py,False,False
test_matplotlib.py,test_matplotlib.py,False,False
test_multiarray.py,test_multiarray.py,False,False
service.py,service.py,False,False
build_methane_event_table.py,build_methane_event_table.py,True,True
multisensor.py,multisensor.py,True,True
gkehub_v1_messages.py,gkehub_v1_messages.py,False,False
polyutils.py,polyutils.py,False,False
recognizers.py,recognizers.py,False,False
_create_alpha.yaml,_create_alpha.yaml,False,False
html5parser.py,html5parser.py,False,False
test_groupby.py,test_groupby.py,False,False
README.md,README.md,True,False
multitype.py,multitype.py,False,False
deploymentmanager_v2beta_messages.py,deploymentmanager_v2beta_messages.py,False,False
containeranalysis_v1beta1_messages.py,containeranalysis_v1beta1_messages.py,False,False
command_conventions.py,command_conventions.py,False,False
filter_design.py,filter_design.py,False,False
test_stats.py,test_stats.py,False,False
servicedirectory_v1beta1_messages.py,servicedirectory_v1beta1_messages.py,False,False
history.py,history.py,False,False
build_one_av3_methanefuse_test.py,build_one_av3_methanefuse_test.py,True,True
test_pep8_converter.py,test_pep8_converter.py,False,False
backend_qt5.py,backend_qt5.py,False,False
gkehub_v1alpha_messages.py,gkehub_v1alpha_messages.py,False,False
esoteric.py,esoteric.py,False,False
forth.py,forth.py,False,False
